eXoID	Folder	Zipfile	ZipSize	Game	Year	Developer	Publisher	Genre	Description	Series	Region	Rating	PlayMode	Manual	Favorite	xmlID
1083w	SFPDHomi	SFPD Homicide - Case File - The Body in the Bay (1995).zip	800640828	SFPD Homicide / Case File: The Body in the Bay	1995	Interworks	Grolier Electronic Publishing Inc.	Adventure;Detective / Mystery;Interactive Movie	SFPD Homicide / Case File: The Body in the Bay is a point-and-click adventure game based mostly on FMV and photo graphics, with the player taking up the role of a San Francisco Police Department detective tasked with clearing up a series of murders. The character is San Francisco's newest homicide detective and teams up with a real investigator who acts as a partner and a guide. The case starts with a 50-something white male found floating in the bay near Pier 91, bound and gagged. The player's tasks encompass examining crime scenes and securing evidence as well as interrogating witnesses and suspects to uncover the identity of the serial killer. Using evidence, clues and procedures from the actual case, the detective explores the victim's life, vices and secret passions. Along the way, more than 40 characters from his life are met as the case takes the detective from the city's posh nightclubs to its deserted piers.			T - Teen	Single Player	SFPD Homicide - Case File - The Body in the Bay (1995).pdf	false	a0da2fb3-3f83-b4e9-e875-750fd2e77572	
561w	BWave1	BrainWave (1997).zip	17538425	BrainWave	1997	Dexterity Software	Dexterity Software	Action;Arcade	Brainwave is a single player shareware game that is a sort of cross between  Space Invaders  and Galaxian.Though it looks like a space shoot 'em up the premise for the game is  much closer to home. Nanobots have been surgically implanted into the player's brain to repair damage caused by watching too much television.  However as they went about their work the nanobots achieved intelligence of their own and in order to survive they are now feeding on the player's brain.  The good news is that the player's imagination has created a ship that will destroy the nanobots and so the battle commences.There are nine scenarios in the full game with three being made available in the shareware release. This is a keyboard controlled game with the arrows moving the ship left / right  and the space bar firing the ship's weapon. These is no up/down movement. Once a wave of nanobots has been cleared the game displays the player's score before presenting the next wave which the game claims to configure by analysing  the player's game style.  Some nanobots leave a power crystal behind that, if captured, upgrades the players weapons.The game has sound, music, a high score table and re-definable keys.	BrainWave series		Not Rated	Single Player		false	7e1762bb-e0b7-03cf-b962-6288d9f52965	
1874w	9Worlds	Nine Worlds (1996).zip	533212073	Nine Worlds	1996	Digital Ranch	Palladium Interactive, Inc.	Education;Reference	This is an interactive tour of the planets of our galaxy, narrated by Patrick Stewart. Each of the planets, save Earth, has a QuickTime overview and guided tour given by Patrick Stewart. Players are also able to view pictures of a planet's moons, if it has any, view the planet's physical characteristics and look at a vacation planner for the planet.				Single Player		false	9a746673-8f3b-1cc5-c6d3-d383557ec3bd	
628w	D2D1	Dare to Dream Part One - In a Darkened Room (1993).zip	18161967	Dare to Dream Part One: In a Darkened Room	1993	Epic MegaGames, Inc.	Epic MegaGames, Inc.	Adventure;Detective / Mystery	An graphic adventure from a first-person point of view, run in Windows, rather than the usual DOS of the time. Tyler, the main character, is caught in his dreams. Wandering the streets of his dream world, his has to pick up and put to use things that would not normally be used in adventure games of its time, like dirty underwear or sewage. But don't think this is a gross or childish game. While it isn't tremendously challenging or diverse (the play control is very similar to that of Myst), it is still very original. And as Tyler discovers something terribly wrong with the state of his dreams, he must also find a way to escape, which is only half the fun.	Dare to Dream Episodes		Not Rated	Single Player		true	de59fba3-c222-489e-d01e-1e7d8d818ca8	
667w	EasternM	Eastern Mind - The Lost Souls of Tong Nou (1995).zip	572609759	Eastern Mind: The Lost Souls of Tong Nou	1994	OutSide Directors Company Co., Ltd.	Sony Imagesoft	Adventure	Eastern Mind: The Lost Souls of Tong Nou is an inventory-based point-and-click adventure game. The player taking the role of Rin, is a young man who has lost his soul. With a temporary soul from a friend that will keep Rin alive for 49 hours, Rin travels to the living island of Tong Nou to recover his soul. Tong Nou is a strange, living island, that takes the shape of a giant green head (actually the one of the designers Osamu Sato).There, Rin will visit the five lands that were created when the universe was born: the Lands of Time, Desire, Dreaming, Life, and the Central Mountain of Tong Nou. Rin will revisit these lands often during the game. To solve the quest, the player may even have to die and reincarnate nine times, causing the player to play the game from the perspective of nine different characters. To complete the game, the player has to accomplish the goals of each character.			E - Everyone	Single Player		false	575c2247-0290-2acc-6aed-ed771ee979ba	
773w	HuygensD	Huygen's Disclosure (1996).zip	607606480	Huygen's Disclosure	1996	Microforum International	Microforum, Inc.	Action	Huygen's Disclosure is set in 2020 when the ozone layer is almost completely destroyed. A member of the Galactic Reconaissance Unit is sent to the moon Titan to examine if the recently found gas Rachellium could be the solution to earth's environmental problems. But of course he gets immediately involved in the resident's own problems.The player character is controlled with the mouse. When pressing a key on the keyboard the game opens a menu were the four main options can be chosen. The adventure part consists of logic puzzles like the assembling of a broken solar cell, finding and using inventory items and multiple-choice conversations. The second part of the game is the combat with the various life forms of Titan. Instead of a point & click interface the player has to use a aiming panel on the upper right corner. By moving a crosshair inside this box the player aims his weapons in the actual game world. The weapons are fired with the already mentioned menu. During the game the player meets companions which help him during combat. They also receive their orders over the keyboard menu.	Theme: Sci-Fi		T - Teen	Single Player		false	9adb4b46-30c9-2cc4-a94e-4ea7e76ab2cb	
34w	GusGoest	Gus Goes to Cybertown (1993).zip	100153040	Gus Goes to Cybertown	1993	Modern Media Ventures	Modern Media Ventures	Adventure;Education	This educational game is aimed at kids under eight. You are playing as the dog Gus who searches the town after his 15 "CyberBuds".The town consists of four houses and one park. In every house you encounter a puzzle-based educational game. This includes a spelling game, and game where you have to recognize letters to avoid asteroids. Also you have to count the bubbles in an aquarium or recognize and match shapes. In the park you can see typical clothes and items from different timelines starting at the neanderthals up to spacemen. There are also a few songs included.	Gus and the Cyberbuds series		Not Rated	Single Player		false	a60f9176-109c-5816-99f4-f4e91c7d22dd	
733w	Gaz	Gazillionaire (1994).zip	50467276	Gazillionaire	1994	LavaMind	Spectrum Holobyte, Inc.	Construction and Management Simulation;Strategy	Gazillionaire is an intergalactic game of wheeling and dealing!  It was selected as a FINALIST in the Ziff-Davis Shareware of the Year Awards and was ranked in the Top 5 of all strategy games.  Gazillionaire is similar to Monopoly set in outer space.  Make billions rocketing from planet to planet, while buying and selling rare commodities.  Up to 6 human players and 6 computer players compete in this game of financial strategy.	Gazillionaire series		Not Rated	Multiplayer; Single Player	Gazillionaire (1994).txt	false	6aafb870-09ee-2477-1120-2001794a0705	
623w	DaggersR	Dagger's Rage (1995).zip	168895355	Dagger's Rage	1995	Microforum International	Microforum, Inc.	Action;Shooter	Dagger's Rage is a sci-fi action adventure that tries to capitalize on the market made popular by games like Elite and Privateer.  You are a mercenary with your own starfighter, and it's up to you to stop a new pirate menace that has been ravaging the shipping lanes and innocent people of the United Planets.You choose your own missions and contracts, and uncover the plot as you progress.  As you win more contracts, you gain more funds to purchase new ships and weapons.The main difference between Dagger's Rage and another game that might be compared to it -- i.e. Privateer -- is that this is less a space sim and actually is quite arcade-ish.  You control your ship through a top-down view, and combat plays like a toned-down shooter such as Tyrian.  Battles take place on various planets and in space.  The terrain, however, is 3D.	Theme: Sci-Fi		E - Everyone	Single Player	Dagger's Rage (1995).pdf	false	396b635c-932c-8fd2-0f6f-6f3652ff40ac	
1082w	SFCave	SFCave (1995).zip	26308450	SFCave	1995	Sunflat Games	Sunflat Games	Action;Arcade	SFCave is a very simplified cave flyer. The player controls the altitude of a blue ribbon that is constantly moving from left to right through a cave. It's a one button game where the player makes the ribbon move upwards by touching the screen. When not touching the screen the line moves downwards. The goal of the game is to avoid crashing into the cave walls and to stay alive as long as possible. The further into the cave the player gets the cave become more narrow and the pace gets faster. At the end player gets a score based on how long he stays alive. On some platforms it is possible to submit the score online for a place on the global highscore list and get a rating in return.	Cave-flyers and Thrust variants		Not Rated	Single Player		false	44592903-d967-a400-09e0-e0a74c07dbfa	
661w	Draculas	Dracula's Secret (1996).zip	202746216	Dracula's Secret	1996	Corel Corporation	Future Endeavours, Inc.	Adventure	Dracula's Secret is targeted towards kids and young gamers. In the beginning of the game Dracula invites you to explore his castle and its surroundings in order to discover the hidden secret. As you start, you explore the environment around the castle and try to make your way inside. There are many hurdles on the way, but the main objective is to gain access and find what the secret hidden by Dracula is. The castle is surrounded by many different monsters, a cemetery, a broken bridge...Once inside, you will meet different creatures and will have to solve puzzles. The objective is to find the items that comprise Dracula's Coat of Arms. The puzzles and obstacles include a range of logic-type problems and a few small games. There are fourteen or fifteen of these, including a couple of mazes, a picture puzzle, a sliding tile puzzle. The game uses a 1st-person perspective and Dracula appears at regular intervals to taunt your progress.			Not Rated	Single Player		false	28e37cd7-4052-429f-1533-33e1102da51d	
800w	JourP	Journeyman Project, The (1993).zip	306701524	The Journeyman Project	1993	Presto Studios, Inc.	GameTek, Inc.	Adventure	Claiming to be the first ever photorealistic game, The Journeyman Project take us to the far future, to the year 2318. Humanity is on the verge on signing an historic peace treaty with an alien civilisation called the Symbiotry. However, it seems someone is altering history and meddling with the timeline.This is due to a newly created machine, the Pegasus time travel machine. You are a member of the team assigned to guard it, and now you must use it to travel back through time and unravel the mystery and stop whoever is behind it. In your travels, you will travel from 2 million years BC to the far future, solving puzzles and untangling the mystery. The game is played from a 1st-person view point.The game was originally made for the Macintosh and the PC port suffered some problems, leading to a later improved release, re-titled The Journeyman Project: Turbo!	The Journeyman Project series; Theme: Sci-Fi		Not Rated	Single Player	Journeyman Project, The (1993).pdf	false	b801b58f-b478-94dd-cd72-72697dd87cac	
7w	ambAI	AI v2 (1998).zip	17876852	AI v2	1998	Ambrosine	Freeware	Action;Shooter	Arcade action, inspired by the classic Broderbund game AE. Requires strategy not just a quick trigger finger. This version addresses some of the most common complaints about what made the first version unfairly hard.			Not Rated	Single Player		false	c98beee2-b99a-879a-3a48-48828acb82be	
416w	BermudaS	Bermuda Syndrome (1996).zip	135935558	Bermuda Syndrome	1996	Century Interactive	BMG Interactive Entertainment	Action;Platform	Jack Thompson is a pilot of an American B-17 bomber during World War II. His plane is shot down by German fighters and is about to crash. However, a mysterious portal appears, transporting Jack into an alternate reality. Jack ends up in a jungle and promptly saves a young woman who is attacked by a gigantic dinosaur. It appears that the woman is a princess who was about to be sacrificed for her father. The two decide to travel together, trying to survive in the dangerous jungle and eventually escape.Bermuda Syndrome is a cinematic platformer similar in concept to Flashback. The emphasis of the gameplay is on solving problems and carefully proceeding through screens filled with enemies and hazards. Jumping, fighting, and occasionally using items are required to succeed. At some points it is necessary to interact with the princess in order to solve a puzzle.			Not Rated	Single Player		true	8506bd95-17d0-0f4c-cccf-cf682bb9856e	
566w	BrickBre	Brick Breaker II Turbo (1994).zip	15901489	Brick Breaker II Turbo	1994	YuS Design Studio	YuS Design Studio	Action;Paddle / Pong	Another Break-out clone. The game has eight different levels with varied difficulties. On each level you have to destroy brick walls by the ball dodged with your paddle to see a special car such as Corvette, Celica, Dodge, Paseo, etc. on the picture. Difficulties varies as speed limits for Campus (15 mph), Downtown (30 mph), Highway (45 mph), or RaceTrack (150 mph).	Breakout variants		Not Rated	Single Player		false	96e946f8-3787-f24b-ef25-2559555eaeae	
971w	PSNNH	Pajama Sam - No Need to Hide When It's Dark Outside (1996).zip	535120517	Pajama Sam: No Need to Hide When It's Dark Outside	1996	Humongous Entertainment, Inc.	Humongous Entertainment, Inc.	Adventure;Education	Sam, a big fan of Pajama Man is to afraid to sleep, with Darkness in his closet. So he turns himself into Pajama Sam! With his Flashlight, his mask and Signature edition Pajama Man Lunchbox. Going into his closet, to The Land of Darkness, His things are stolen by trees, and are hidden throughout The Land of Darkness.Its up to you to help Sam get around The Land of Darkness to find his stolen stuff. Along the way help Sam collect his missing socks, and solve challenging puzzles to help Sam find his stuff.When you play different times getting Sam's stuff will seem easy, but as you play the game different times finding Sam's stuff gets harder. The game features collecting a lot of useful items such as an oil can, a pick axe and a magnet, and running into new friends such as Otto the boat and King the mine car.	Junior Adventure games; Pajama Sam series		Not Rated	Single Player	Pajama Sam - No Need to Hide When It's Dark Outside (1996).pdf	true	c66c1469-b600-5cc8-50e7-e7a4112039f4	
153w	ToySto3x	Toy Story Power Play (1996).zip	574013576	Disney's Toy Story	1996	Disney Interactive, Inc.	Disney Interactive, Inc.	Action;Platform	The game that blasts you to infinity and beyond![13][10]Rev up your twitch finger because the toys are back in town! And now they're starring in a fast, furious, and funny video game you can play on your computer. You'll go one-on-one with the evil Claw, Scud, and the workbench of horrors. But hang in there, because you and Woody need to rescue Buzz from the toy-torturing boy next door. It's forty hours of gaming so wild, it's out of this world!	Walt Disney games			Single Player		false	43681197-a07d-cd7a-7b91-9162553a94e9	
752w	HarpC95	Harpoon Classic (1995).zip	41157141	Harpoon Classic	1995	Applied Computing Services, Inc.	Alliance Interactive Software, Inc.	Strategy;Vehicle Simulation	A naval battle simulator based on Larry Bond's popular Harpoon board-game from 1980. In addition to the material found in the original game, this release adds Mediterranean and Indian Ocean battlesets as well as three designer series battlesets for each area and easy-to-use scenario editor. The informative database is updated from the original version, but gameplay itself is somewhat inferior as in-flight refueling and weapons reloads for ships are no longer possible. There are 48 new scenarios included in the CD-ROM. However, the newer version, Harpoon Classic '97, is also available and has everything added in this release as well as improved graphics.	Board game translations; Harpoon series		Not Rated	Single Player	Harpoon Classic (1995).PDF	false	60a7c179-8ce9-3b21-d1fe-fecf24553b32	
247w	FallUshr	Fall of the House of Usher, The (1994).zip	540283328	The Fall of the House of Usher	1994	Westwind Media	Westwind Media	Adventure;Education	Explore multimedia macabre in this unparalleled presentation of Poe's classic tale. Immerse yourself in the visual and aural manifestations of one man's madness. Your journey through the House of Usher will be filled with startling animations- rich, brooding graphics- and musical interludes that reflect subtle details, creating a story within the story. If you find yourself wondering what kind of mind creates a tale of this type, go to the Analysis, where you'll find a biography of Poe, an overview of the genre, and interpretations of the story. When you think you've got it all figured out, be sure to investigate a special part of the house- the 3-D Art Gallery. But Usher is a complex man. You'll have to solve the puzzles he poses; and as you do, you'll discover that his paintings are alive… and rather frightening! Race to escape before The Fall of the House of Usher.			Not Rated	Single Player		false	99d1d74a-a9b3-2ecb-bda4-a4c09878d376	
1447w	CrusSpac	Stardate 2140.2 - Crusade in Space (1994).zip	27505107	Stardate 2140.2: Crusade in Space	1994	Glacier Edge Technology	MVP Software	Strategy	Crusade in Space is a single player, mouse controlled game of space exploration and conquest.[13][10][13][10]The game starts by displaying a series of short sentences, one at a time, on the screen. "Finally. The people of your world are under one ruler. YOU The Emperor! Now your scientists have given you spaceflight. Your armies are training for planetary invasions! An entire galaxy awaits your rule! As you begin your CRUSADE IN SPACE". All of which neatly sets the tone for this strategy / resource management game.[13][10][13][10]The player takes control of a small fleet around a single star in a big galaxy. The object of the game is to build more and bigger fleets, strategize, and conquer it all. Planets can be tasked to produce ships, troops and planetary defences. Fleets can be ordered to attack nearby systems and once the opposition is defeated in space transports can be sent to conquer the planets.[13][10]In game time is based on a stardate system which can be frozen or sped up as required. This enables the player to send fleets across large distances, or construct capital ships quickly in real time.	Theme: Sci-Fi		Not Rated	Single Player		false	72e4e5f5-5fba-1b5a-7c74-743e26453187	
293w	FrutPick	Fruit-Picker (1996).zip	15368178	Fruit-Picker	1996	Isabelle Bristow	Freeware	Action	Fruit-Picker is a simple action game where the player moves a goblin around the screen, and must collect all the fruit while avoiding flying bees. Contact with a bee causes the goblin to lose a life. A bee disappears every time the goblin collects all of a specific type of fruit.	Game Engine: Klik & Play		Not Rated	Single Player		false	42d3d580-f359-4d43-75cf-cfc008b93814	
993w	pgold3x	Pirates! Gold (1994).zip	36559097	Pirates! Gold	1994	MPS Labs	MicroProse Software, Inc.	Adventure	As with the original, this is a blend of strategy, action and adventure. Pirates! Gold lets you play the role of a beginning buccaneer in the 17th century Spanish Main, in search of fame and fortune. Each town in this untamed raw region has different surprises and dangers. How you acquire stature is up to you; you can make your living through honest trade and the search for hidden treasure, or you can be a little more daring and attack and plunder ships. As you can choose a specific skill to stand out in, the game can vary each time. Sword fighting is played out in side-view action sequences.	Merchant / Trade-oriented games; Pirates! series		Not Rated	Single Player		true	13b68f9b-de97-ada8-071e-1ef1d7cc0911	
1954w	EWVRBird	Eyewitness Virtual Reality Bird (1995).zip	404853432	Eyewitness Virtual Reality: Bird	1995	DK Multimedia	DK Multimedia	Education	Explore a dramatic virtual museum with amazing interactive exhibits! Product Information Enter a virtual museum dedicated to birds and experience the grace and beauty of these winged creatures up close with multimedia and interactive exhibits.  From exotic parrots to hulking birds of prey to a host of bird-related icons such as the Egyptian falcon, this program has been researched by bird experts to provide a broad educational compilation of information for the student and the everyday enthusiast. Take a guided tour or use the handy navigation pad to wander through the exhibits at your own pace.  A searchable index allows you to look up specific topics where you will find 3D exhibits packed with color and detail, photos, videos, articles, sound clips, illustrations, and diagrams.	Educational: Science; Eyewitness Virtual Reality series			Single Player		false	e6144b64-3f3b-471b-be4e-eced9344115b	
97w	BEatEoT	Between Earth And The End Of Time (1996).zip	378099254	Between Earth and the End of Time	1996	Integrated Communications & Entertainment	Integrated Communications & Entertainment	Adventure	Traveler, are you ready for a fantastic voyage? Are you ready to journey with me to Worlds that defy explanation?[13][10]For many years, Rodney Matthews has taken travelers, just like you, on an incredible voyage of imagination. To Worlds filled with aliens, creatures and moons that never set. Across skies lit with the red of blazing suns. Over vast frozen wastelands. Through dense forests peopled with legends.[13][10]Let Rodney and me, your Navigator, take you there and bring you safely back to the confines of Earth, where ideas are first born. Where there is beauty in nature and in life.[13][10]This CD-ROM will take you Between Earth and the End of Time, visiting worlds created in the imagination of one of the greatest fantasy artists of our or any other time. Meet Rodney Matthews himself. Discover hidden Worlds on your own. Create your own works of fantasy art. Solve the mystery of the ethereal castle and receive your just rewards. Explore over two decades of fantasy illustration by Rodney Matthews. All accompanied by a custom soundtrack by rock legend Rick Wakeman.[13][10]Come traveler, and journey with me to the End of Time.	Theme: Fantasy		Not Rated	Single Player		false	7e1e8dd5-ccfa-d76f-9f4a-4a0a963cd08e	
480w	BeyondTi	Beyond Time (1997).zip	1177793557	Beyond Time	1997	Jones and Jones Multimedia	DreamCatcher Interactive Inc.	Adventure	Beyond Time is an inventory-based, mouse-driven adventure game based on the novel Obelisk by Dr. Judith Kaye Jones. "Obelisk" was the name given to it by the original designers when it was completed in 1995, but it was never published under that name. DreamCatcher picked it up for publishing 2 years later under the name Beyond Time, appropriate because the story does involve time travelling.Rifts in time have occurred causing people and precious artifacts and treasures to disappear mysteriously all over the world. Travel to ancient Egypt, Tibet, the Yucatan peninsula and Atlantis to find the missing masterpieces of the world and repair time itself. Only your puzzle-solving skills can save humanity from impending doom.			E - Everyone	Single Player	Beyond Time (1997).pdf	false	52b6c940-253c-8eb3-c07c-7c6625034947	
807w	JS2nd	Jump Start 2nd Grade (1996).zip	296642658	JumpStart 2nd Grade	1996	Knowledge Adventure, Inc.	Knowledge Adventure, Inc.	Education	Jump Start 2nd Grade is an educational game for ages 6-8 that helps kids with Science, Spelling, Vocabulary, Art, Geography, Math and much more. You join C.J the Frog and his angry Fire Fly friend Edison and go into an elevator to secret rooms and caverns including the Clubhouse, the Classroom, The Boiler Room, The Football Field, The Bone Vault, The Cave Writings, The Cricket Band, The Log Ride and The Ice Cave. The games have three difficulty levels. If you do well in the games you win points to earn stamps for a collection. You also receive letters from certain pen-pals all over the United States, asking you to do stuff for them and you try to solve their questions and light up a map you own for the states they live in.	JumpStart series			Single Player		false	2c727c13-a9d4-3547-3f87-87cfd3b26ddb	
475w	Bship3x	Battleship (1998).zip	15376810	Battleship	1998	Richard Foley	Freeware	Board / Party Game	This is a shareware version of the classic board game Battleship by Milton Bradley.Two players have a grid of boxes. You use your mouse to decide where your ships should go, and compete to try to find and sink your opponents ships.There is a win record menu that tells how many time you won and lost or drew. Options include whether the game has a 10 x 10 or 15 x 15 board, and allow you to choose between a single shot or salvo shooting, and whether you can use Cluster bombs, Cruise missiles and Smart Bombs, and you can use Ship resources or Fleet resources. There are Beginner, Intermediate or Expert skill levels,  and you can decide who goes first, with the option of this being decided randomly.	Board game translations; Genre: Board game - Battleship		Not Rated	Multiplayer; Single Player		false	b846373e-48cf-0236-110f-0ff72973f24b	
976w	Paperopo	Paperopolis (1995).zip	400781618	Paperopolis	1995	Virgin Games, Inc.	Virgin Interactive Entertainment, Inc.	Education	In Paperopolis, the animated Ted the Toad guides the user through the world of Paperopolis, which contains a variety of origami patterns which may be printed out and folded. Some of the patterns can be customized with pictures before printing, so the folded object will have the chosen picture on it.The patterns are arranged in the world of Paperopolis with similar patterns together--for example, there's an aircraft hangar containing all the paper airplane patterns. Ted provides commentary on each pattern, along with a few words for each area.	Educational: Graphics / Art			Single Player		false	78931fb4-7046-a1c2-9515-1568c06c023e	
1197w	TTC1	Thinkin' Things Collection 1 (1993).zip	205097519	Thinkin' Things Collection 1	1993	Edmark Corporation	Edmark Corporation	Education	This CD-ROM program, designed for ages 5-10, has six activities designed to offer students experiences with a variety of thinking skills: memory, critical thinking, problem solving, and creativity.[13][10][13][10]The Create mode allows students to experiment, explore, and create; and in the Question and Answer mode students answer a character's questions.[13][10][13][10]In Oranga Banga students become familiar with the sounds of a variety of instruments; then Oranga Banga plays a pattern that the students try to repeat.[13][10][13][10]In BLOX - Flying Shapes students develop an awareness of spatial relationships, and the differences and similarities in shapes, by using geometric shapes, motion, and sound.[13][10][13][10]Feathered Friends teaches students visual discrimination; how to recognize, compare, and combine attributes; how to use parts to create a whole; how to complete patterns; how to recognize changes and attributes that create patterns; and how to hypothesize and test a rule.[13][10][13][10]In Toony Loon students improvise their own musical patterns and tunes on unique xylophones.[13][10][13][10]In the final activity, Fripple Shop, students are shown a variety of Fripples each with different attributes. Customers order fripples with specific attributes and the student must find them. Students may receive Fripple orders from customers by: clicking on the door (auditory and visual); clicking on a fax (visual only); or clicking the phone (auditory only). This Activity allows teachers and parents to observe how individual students learn.	Educational: Graphics / Art; Educational: Math \ Logic; Educational: Music; Thinkin' Things series		EC - Early Childhood	Single Player		false	bb4167c6-b8c3-1be7-b5a2-a277f500278a	
207w	spstalph	Space Station Alpha - The Encounter (1996).zip	448456676	Space Station Alpha: The Encounter	1996	Time Blazers	TeraMedia, Inc.	Adventure;Education	Time Blazers was a series of CDs for children. Students enter an abandoned alien spacecraft. By gathering clues and interacting with strange devices, students learn about science, mathematics and technology as they try to unlock the aliens' secrets. This gives an opportunity to inspire tomorrow's generation of astronauts. Mission Control to all Time Blazers. A personal message from retired US AstronUT Eugene Cernan - last man on the moon. Apollo 17. "What lies beyond our solar system... past our galaxy? As we blaze through space, will we find new civilizations that possess answers to the questions we face here on Earth?" With adventures in orbit as the backdrop, children will learn about science, mathematics and technology. As a creative tool in discovering and exploration, nothing else in the universe compares to it.	Educational: Science			Single Player		false	7eca7a5a-df6b-3c5a-e582-821d7b04ffdd	
215w	AesopF	Aesop's Fables (1994).zip	506106955	Aesop's Fables	1994	Discis Knowledge Research Inc.	Discis Knowledge Research Inc.	Education	Aesop's Fables or the Aesopica are a collection of fables credited to Aesop, a slave and story-teller believed to have lived in ancient Greece between 620 and 560 BCE. The fables remain a popular choice for moral education of children today. Many of the stories, such as The Fox and the Grapes (from which the idiom "sour grapes" derives), The Tortoise and the Hare, The North Wind and the Sun, The Boy Who Cried Wolf and The Ant and the Grasshopper are well-known throughout the world. Of the many skills a child acquires during his or her development, perhaps the most valuable to lifelong pleasure and further learning is the ability to read.	Educational: Reading		Not Rated	Single Player		false	7bed32f0-7324-fb88-db08-0893dadd8d88	
1140w	Spaceshi	Spaceship Warlock (1994).zip	259797776	Spaceship Warlock	1994	Reactor Inc.	Reactor Inc.	Adventure;Interactive Movie	The Terran Empire no longer rules the galaxy. After a pan-galactic battle that lasted a thousand years, mankind lost the war against the powerful Kroll Imperium, as well as their planet. The Kroll moved the planet from its orbit and hid it deep in Krollian space.[13][10][13][10]You start your adventure in Stambul, a world dominated by the Kroll Imperium. You manage to leave this ugly world and board the spaceship Belshazzar, which is attacked by the pirate ship Warlock. You are captured and taken aboard the pirate vessel, where you will embark on a journey across the galaxy to search for Terra, your stolen planet.[13][10][13][10]Spaceship Warlock is a science fiction game with a 3rd-person perspective and simple mouse control. The player can pick up things one by one, and collected items are shown in the right bottom corner (the game doesn’t have an inventory). Space Warlock was originally published for the Macintosh in 1990 and ported for the PC in 1994. Despite its age it includes music, voices and lots of animations, and it even runs on Windows XP.	Theme: Sci-Fi		Not Rated	Single Player	Spaceship Warlock (1994).pdf	false	76c0c98a-3f85-6396-83f2-f2c503cf53e3	
582w	CatFight	CatFight - The Ultimate Female Fighting Game (1996).zip	49314742	CatFight: The Ultimate Female Fighting Game	1996	Phantom Card	Atlantean Interactive Games	Action;Fighting	CatFight: The Ultimate Female Fighting Game is an all-woman fighting game, resembling the early editions of Mortal Kombat where the sprites representing the fighters were also created using digitized actors. Katalin Zamiar, an American martial artist, is featured in-game through this method as the ninja woman character Chae Lee.The short plot revolves around an evil goddess who summons some of the world's greatest fighters to a few number of arenas for a fighting challenge. The player may choose from ten different characters, who are all scantily clad women.	Genre: Versus fighting		Not Rated	Multiplayer	CatFight - The Ultimate Female Fighting Game (1996).pdf	false	0d0267f3-93d9-f29b-971f-1f8c095b1735	
716w	FPSTBasN	Front Page Sports - Trophy Bass 2 - Northern Lakes (1997).zip	505877624	Front Page Sports: Trophy Bass 2: Northern Lakes	1997	Dynamix, Inc.	Sierra On-Line, Inc.	Sports	The Northern Lakes expansion for the base game Trophy Bass 2 adds five additional fishing spots, modeled after their real life counterparts: Lake Winnebago (Wisconsin, at the largest lake in the state), Lake Onieda (New York), Mille Lac (Minnesota), Lake St. Clair (Michigan/Ontario) and Dale Hollow (Tennessee). Additionally, there are new species of fish with bass, pan and catfish: the monster pike, sauger, rock bass, yellow perch, musky and tiger musky (a hybrid).	Front Page Sports series; Sports: Fishing; Trophy Bass games		E - Everyone	Multiplayer; Single Player		false	41884f43-28d7-8705-5c2a-2a9e80910105	
152w	Tommy3x	Tommy (1996).zip	624737897	Tommy	1996	Interplay Productions, Inc.	Interplay Productions, Inc.	Adventure;Pinball	See and hear Tommy as never before. Pete Townshend and The Who's earliest years to Woodstock, from the 1989 reunion tour to the 1993 smash-hot Broadway play and beyond. Find out why Pete Townshend and The Who shocked one generation and inspired the next. Check out Pete Townshend's original lyrics both on paper and on early audio demos as he brings his dream to life.			Not Rated	Single Player		false	1a8b8e54-b53f-3a8e-ae84-84e064373f19	
634w	Deflekto	Deflektor PC (1998).zip	15696412	Deflektor PC	1998	RetroSpec	RetroSpec	Puzzle	This early, authorized freeware remake of the puzzle game from 1987 updates the graphics and sounds while maintaining the original gameplay. Each level is a puzzle room filled with obstacles and viewed from above, where the objective is to use a series of mirrors to guide a laser beam towards a receiver device and complete the stage. The mirrors are stationary, but can be rotated to deflect the light to several directions, with some turning automatically all the time. The player must configure the mirrors and carefully avoid the mines and walls that reflect the laser back to itself, causing the emitting device to overload and explode. Bomb detonators have to be activated and destroyed to open a passage to the receiver. Other features change the behavior of the laser: the prism bends the light in random 90║ angles; the optical fiber nodes act as a portals, transporting the beam to another place of the board; logical doors have internal mirrors that absorb or deflect the laser when hit at the correct orientation. This remake received a new version in 2006.	Enhanced remakes; Fangames		Not Rated	Single Player		false	6325efeb-e172-8015-6baf-af3eabb1bbc3	
201w	RRRJ1	Reader Rabbit's Reading Journey 1 (1996).zip	169533901	Reader Rabbit's Reading Journey 1	1996	The Learning Company, Inc.	The Learning Company, Inc.	Adventure;Education	This comprehensive reading program integrates 40 carefully leveled storybooks with over 100 skill building lessons. Set within an interactive playworld, this unique combination of activities is far more fun and effective than simple phonics drills. Equalent to 1 year of classroom reading lessons. The result is a reading program that lives up to its promise--it teaches your child to read.	Educational: Reading; Reader Rabbit series			Single Player	Reader Rabbit's Reading Journey 1 (1996).pdf	false	08026b51-28a9-f5fc-1ab4-b46fde6766de	
